"locality"
"Lill-Jonskärr, c. 5 km SW of Källa parish church"
"södra stranden av Vendelsjön"
"200 m nordöst om Lönnholmen"
"SW shore of the southern point of the island Lundskär (S of Risö)"
"Burängen"
"nära Björkbacken"
"Lökaö vid Österviken i nygrävt dike"
"Björkhagen near Askarbäck"
"Träsket, östra sidan"
"Skarp-Runmarö norra udden"
"Jämtlands län: Østersund k.: mellom tollstasjonen Storlien og norskegrensa, mellom väg E 14 og jernbanen, i myr"
"Västerbottens län: Skellefteå k: ved Kåge båthamn, i vasskanten."
"Ångermanland: Björna sn; Bergvattnet, drygt en kilometer öster om Björna. Vägdike. RUBIN 20I 1i 09 14. B. Nilsson, Å. Svensson, C. Wigermo 3 juli 2005"
"Södermanlands flora. Carex. Svärta socken, Sandstugekärren. Betat översilningskärr. RT90: O 1576250 N 6514224. 2018-08-15 Lennart Karlén nr"
"Norrbotten. Nederkalix: Karlsborgs , industritipp, industritipp. 25M 4i 18 23 2011-09-08 Leg. Lennart Stenberg & K. Haraldsson nb11 0270"
"at the bath at Rastsjön, 700 m W of Kansarbyn"
"300 m O Lönnholmen"
"Tokenäs, S of Byxelkrok, 600 m SSW of Tokenäs lighthouse"
"mellan färjeläget och kyrkan"
"Öland: Långlöt sn, Långlöt kyrka, 2,1 km NO. Långlöts sjömark i kärr. RN 6290848, 1558442. Å. Svensson, C. Wigermo, B. Nilsson 7066. 25 juni 2011"
"FLORA SUECICA. VÄRMLAND. 11E 7c Långban 31 48 (663813, 141403). Sjön Långban, Färnebo socken. Sjöstrand, udde av sand/grus. 2010-09-09. Pär Dahlström"
"Blysmus compressus, plattsäv. Ög Törnevalla socken. Rydsätter 400 m O. 8G 6a RT.90 6481205. 1502880. Betesmark. 2011 07 11 leg. Janne Andersson"
"Kartruta 139:b, 13. -- 3.7.2008. Per Sigurd Lindberg. Rikligt i sand på Barnbadets strandäng på N(O) änden av sjön Flaten i Stockholms Söderort. Arten växer där på Barnbadets V del, som folk nu undviker på grund av ett massivt uppslag av alsly Alnus gluti"
"Östergötland: Östra Tollstad sn, 200 m NNV Hyppinge. R.N. 64642. 14675. RUBIN 8F2d4225. Öppen obetad blöt mark. 2000.09.24. Janne Andersson"
"Föra, Knisa mosse, E side"
"Blysmus compressus, plattsäv. Ög Ulrika socken, badplatsen vid Amundebosjön. RUBIN 7F9f4237. R.N. 64442. 14787. Sjökant. 2004 09 29 leg. Janne Andersson"
"Gästrikland: Gävle, Norrlandet, Engesberg, 1450 m SV om Bönan, kapellet, S om Bönavägen, badplats, havsstrandäng. Göran Odelvik 10448"
"Lökaön, Norrvikens norra strandäng"
"Ingalskär, nordöstra udden"
"Blysmus rufus. Södermanland: Nyköping, Strandstuguvikens badplats, trampnött, svagt fuktig grässvål på badstrand, sparsamt. Koordinater (RT90): 6511484 1574542 ± 10. 2016-07-10. Thomas Karlsson och Magdalena Agestam nr 16037"
"Karön, östra stranden (loc. orig.)"
"Fårö. Ekeviken."
""
"Havssäv. Uppland, Vaxholm socken. Bogesundslandet, Skoftan syd om Sandviken. Sällsynt, endast 3 ex. i blom funna i gungflyets ytterkant i västra delen av sjön. RT-90: O. 1633.795 N. 6589.919. Rubin: 10I 7g 3849 no. 18/8 2007. Torbjörn Peterson."
"Skåne: Landskrona sn, Landskronatippen (Lundåkradeponin). Grusplan mellan komposthögar. Koordinater (Rikets nät, RT90, enl GPS): 6196758,1315508. RUBIN 02C 9d 175 050. 12.IX.2007. Leg. Joakim Ekman & Gabriel Ekman, nr 2007141"
"Hälsingland: Enånger sn, Långvind, Mjölkviken."
"Södermanland: Ornö sn, Kymmendö, Myrängsflacket, grunt vatten. RUBIN 10J1a 2740. 19.6.2000. No 2824. Göran Odelvik & Richard Karlsson."
"18787. Schoenoplectus maritimus. Skåne: Skurup sn. Kärr i bete4smark 650 m NO Svaneholm slott. Cirka 2 kvadratmeter stort bestånd. RN 6155180, 1353496. RUBIN 2D1a 0134. 10.8 2014 Åke Svensson"
"Havssäv. Uppland, Ingarö socken, Tallholmen. Havsstrand. GPS: 59.15.653/018.31.960. Rubin: 10J 3b 4323. 9/6 2001. Torbjörn Peterson."
"Sweden: Bohus Län (Prov.). W-Küste, Insel Orust, zw. Röd und Nösund, ""Meerwasserzunge"" Boxviks Kile. Salzwiese. Alt.: 1m. 09.08.2001, Leg.: T. Dürbye & A. Kirchhoff 1361."
"nära Träsket, södra delen"
"Halleberg, Gaddetorp"
"nordöstra delen av Träsket"
"Västerbottens län: Nordmaling k: 1 km sør for Olafsfors og ca. 500 m sør for campingplass, i sump like ved vegen mot fjorden."
"Värmlands län: Karlstad k: ved vatnet sør for Graninge vertshus, ca. 10 km nord for Karlstad, i vasskanten."
"Skåne: Fru Alstad sn. I kärr 950 m SSO Kronehill. 2C0h 0236. 21.5 2011 Åke Svensson 17192"
"Norrbotten Hietaniemi: Kotaniemi, igenväxande kulturmark, 26M 1h 38 00, 2006-07-03; Persson, Lennart; Bnr = nb06 0811"
"Norrbotten Tärendö: Tärendö, 200 m söder om västra brofästet, älvkant, 28L 3i 33 44, 2006-07-27; Haraldsson, Kerstin & Williamsson, Mats; Bnr = nb06 3300"
"Norrbotten Nederkalix: Naatselkätorpet, källpåverkad ängsmark, 25N 7b 35 16, 2006-07-01; Renström, Berit & Groth, Hans; Bnr = nb06 1422"
"Norrbotten Överluleå: Byn Åträsket, vid bron över Ljusån, åstrand bland gräs, 25L 5d 18 15, 2001-08-11; Hammarsjö, Claes & Zethraeus, Ulf & Zethraeus, Allis; Bnr = nb01 3317"
"Norrbotten Nederluleå: Alvik, 1800 m SV om Långbergets triangelpunkt 106,5, åstrand, 24L 7f 14 03, 2005-08-21; Davidsson, Irma & Haraldsson, Kerstin; Bnr = nb05 0496"
"Bodum 26/6 2001. Längs södra stranden av Näsån (del av Bodumssjön - Rörströmsälven) 400 m SV om Bodumsbron. Göran Westerström"
"Skåne: L. Slågarp sn. I kärr invid damm 300 m NNO kyrkan i L. Slågarp. RUBIN 1C9g 49 32.Å. Svensson, C. Wigermo 17058. 19 juni 2011"
"Östergötland: Linköping Berga fg, Tinnerö. R.N. 64720 14889. RUBIN 8F4h2039. Tuvigt kärr. 2000.06.27. Janne Andersson."
"Norrbotten Nedertorneå: Kaakurilammi, 1100 m O-ONO om sjöns nordspets, i bäck, 25N 6e 47 25, 2006-06-30; Davidsson, Irma & Autio, Valborg; Bnr = nb06 0166"
"Blekinge: Sillhövda sn; 1,2 km NO Åbyholm På mad. RUBIN 4F Ih 39 33, enligt RN 625 89 92, 148 83 70 B.Nilsson 20 aug 2008"
"Norrbotten Älvsby: Skataudden längst i söder, sjöstrandäng, 24K 8h 34 02, 2001-07-17; Stenberg, Lennart; Bnr = nb01 1143"
"Norrbotten Älvsby: 200 m SV om Stupforsänget, åkant, 24K 8d 01 22, 2004-07-19; Stenberg, Lennart; Bnr = nb04 1677"
"Sweden, province Småland, Torsås, between road Ekbacksvägen and stream Bruatorpsån. - Edge of pond."
"Östergötland: I kärret vid vägen 650 m NO Tinnerö S:t Lars sn, Linköping. R.N. 14889 64721. I ett starrkärr genomrunnet av en bäck. 2000.06.27. Björn Ström."
"Norrbotten Nedertorneå: Karsikko, 1 km ONO om p. 32,37, strand, 25N 8f 06 02, 2006-07-21; Autio, Valborg & Asplund, Gunvor & Brännvall, Tage; Bnr = nb06 1732"
"Norrbotten Hietaniemi: 1 km SSO Kankaanjärvis södra spets, landsvägsdike, 26M 4h 10 48, 2006-06-30; Stenberg, Lennart; Bnr = nb06 0086"
"Norrbotten Råneå: Landsvägen 350 m NNV om Strandgården, blöthåla, 25L 6h 18 10, 2000-08-10; Persson, Lennart & Renström, Berit; Bnr = nb00 1578"
"Norrbotten Råneå: N. Prästholm, NV-viken i Grubban, sjöstrand, 25L 5i 17 07, 2005-07-14; Williamsson, Mats & Sigfridsson, Eva & Partridge, James; Bnr = nb05 0813"
"Norrbotten Överkalix: 600 m S kojan vid Sistkostforsen, älvstrand, 27L 0j 03 03, 2001-06-25; Ahlm, Jan; Bnr = nb01 0177"
"Vasstarr. Uppland, Djurö socken, Hölö, Öträsket, V-sidan. Bland vitmossa och Skvattram i fastare mark nära vattnet. Tanig, dåligt utvecklad. GPS: N. 59.16.117 O. 018.40.754. Rubin: 10J 5c 0537. 1/7 2001. Torbjörn Peterson."
"Norrbotten Överkalix: Muggträskbäcken, 1450 m SSO bäckförgreningen, vid bäck, 26L 6h 12 25, 2008-07-22; Jönsson, Lennart; Bnr = nb08 3814"
"Norrbotten Nedertorneå: Aavajoki 1,1 km VNV Saarijärvis södra kant, bäck-/åkant, 25N 6c 42 11, 2006-07-09; Stenberg, Lennart; Bnr = nb06 0664"
"Norrbotten Pajala: Vid Torneälven 150 m N västra gården i Tuomaanniemi, älvstrandzon, 28M 5e 49 37, 2008-07-22; Persson, Lennart & Groth, Hans; Bnr = nb08 5578"
"Norrbotten Älvsby: Stigens och bäckens mynning i Piteälven vid S. Banfors, fin sand, 25K 1e 11 22, 2007-07-06; Haraldsson, Kerstin; Bnr = nb07 0803"
"Norrbotten Svanstein: Mettäjärvi, 750 m NV-NNV Matinvaara, lerigt ängsparti nära sjö, 27M 4i 46 23, 2000-08-03; Zethraeus, Ulf; Bnr = nb00 2168"
"Norrbotten Karl Gustavs: Pirrilävaaras nordvästsida vid Haparandas norra kommungränsen, öster om väg 99, liten tjärn, vid tjärnkanten, 26N 2c 36 32, 2009-07-14; Asplund, Gunvor & Haraldsson, Kerstin; Bnr = nb09 0266"
"Norrbotten Överkalix: Marsjärv, vid sjöstrand punkt 117,78, vattenbryn, 26L 7h 19 22, 2008-07-09; Haraldsson, Kerstin & Raukola, Lena; Bnr = nb08 2386"
"VASSTARR Carex acuta. Delångersån vid Buränget, Idenor sn, Hudiksvall. Åstrand. 6840501 1575206. 2008-08-05 Enar Sahlin"
