fullnamewithauthors,speciesAgreed
Sphagnum auriculatum Schimp.,Sphagnum auriculatum
Sphagnum auriculatum,Sphagnum auriculatum
"Sphagnum auriculatum, Schimp., 1857",Sphagnum auriculatum
"Sphagnum auriculatum Schimp., 1857",Sphagnum auriculatum
Sphagnum auriculatum Schimp. 1857,Sphagnum auriculatum
"Sphagnum auriculatum (Schimper, 1857)",Sphagnum auriculatum
Sphagnum subsecundum Nees var. auriculatum (Schimp.) Schlieph.,Sphagnum auriculatum
Sphagnum auriculatum Schimp. var. auriculatum Schimp.,Sphagnum auriculatum
Sphagnum subsecundum var. auriculatum,Sphagnum auriculatum
Sphagnum auriculatum var. inundatum Russ,Sphagnum auriculatum
Sphagnum gravetii Russow,Sphagnum auriculatum
Sphagnum auriculatum var. auriculatum Schimp,Sphagnum auriculatum
Sphagnum auriculatum <U+FFFD>,Sphagnum auriculatum
Sphagnum subsecundum var. auriculatum (Schimper) Schliephacke,Sphagnum auriculatum
Sphagnum auriculatum var. canovirens,Sphagnum auriculatum
Sphagnum subsecundum var. auriculatum?,Sphagnum auriculatum
Sphagnum auriculatum var. canovirescens Warnst.,Sphagnum auriculatum
Sphagnum subsecundum var. auriculatum (Schimp) Schlieph,Sphagnum auriculatum
Sphagnum cf. auriculatum,Sphagnum auriculatum
Sphagnum cf. auriculatum Schimp.,Sphagnum auriculatum
Sphagnum auriculatum Schimp. var. ovatum Warnst.,Sphagnum auriculatum
Sphagnum auriculatum Schimp. var. laxifolium Warnst.,Sphagnum auriculatum
Sphagnum denticulatum var. denticulatum,Sphagnum auriculatum
Sphagnum auriculatum W. P. Schimper,Sphagnum auriculatum
Sphagnum auriculatum W. P. Schimper var. auriculatum,Sphagnum auriculatum
Sphagnum gravetii Russ.,Sphagnum auriculatum
Sphagnum aff. auriculatum,Sphagnum auriculatum
Sphagnum auriculatum var. submersum Warnst.,Sphagnum auriculatum
Sphagnum auriculatum auriculatum,Sphagnum auriculatum
Sphagnum auriculatum var. laxifolium Warnst.,Sphagnum auriculatum
Sphagnum auriculatum var. canovirens Warnst.,Sphagnum auriculatum
Sphagnum auriculatum Schimp,Sphagnum auriculatum
Sphagnum gravetii,Sphagnum auriculatum
Sphagnum gravetii Russ. var. leptooxyclada squarrosula,Sphagnum auriculatum
Sphagnum gravetii Russ. var. hypisopora Russ. ( 1896 N∑ 132 ),Sphagnum auriculatum
Sphagnum gravetii Russ. var. rubrum,Sphagnum auriculatum
Sphagnum gravetii Russ. ( 1896 N∑ 132 ) var. hypisoporn,Sphagnum auriculatum
Sphagnum gravetii Russ. ( 1896 ) polypora,Sphagnum auriculatum
"Sphagnum gravetii Russ. ( 1896 , N∑ 94 ) var. polypora Arch.",Sphagnum auriculatum
