"locality"
"Ranomafana Nat. Park, near Ambodiamontana"
"Norrbotten Överkalix: Stråkan, 1200 m V-VSV Lillträskbergets topp, vid bäck i myraktig sluttning, 26M 7c 18 22, 2008-06-25; Davidsson, Irma; Bnr = nb08 0995"
"Norrbotten Tärendö: Tärendöälvens östsida vid Suinaniemi, älvstrand, 28L 8g 34 04, 2006-07-16; Persson, Lennart & Ström, Björn; Bnr = nb06 1178"
"Norrbotten: Älvsby sn: 100 m NO inloppet Stortjärn. Blåtåtelmyr.  24K 7b 17 22   2005-07-06   Leg. Jan AhIm nb05 2115"
"Norrbotten Piteå Markbygdens kbfd: Strömfors, husklungan, slänt mot sjöstrand, 24K 2b 39 09, 2001-09-04; Stenberg, Lennart; Bnr = nb01 3441"
"Ångermanland: Björna sn; Bergvattnet, drygt en kilometer öster om Björna. Vägdike. RUBIN 20I 1i 09 14. B. Nilsson, Å. Svensson, C. Wigermo 3 juli 2005"
"Norrbotten Korpilombolo: Teurajärvis södra del, frisk ängsmark, 27M 5c 25 22, 2007-07-19; Renström, Berit & Groth, Hans; Bnr = nb07 1626"
"Södermanlands flora. Carex. Svärta socken, Sandstugekärren. Betat översilningskärr. RT90: O 1576250 N 6514224. 2018-08-15 Lennart Karlén nr"
"Norrbotten: Korpilombolo: Teurajärvis södra del, frisk ängsmark.  27M 5c 25 22  2007-07-19  Leg. Berit Renström & Hans Groth nb07 1626"
"Jämtland: Undersåker sn, 4250 m SO-SSO om Snasahögarna, Storsnasen, triangelpunkt 1461,4, 2750 m SV om Väster-Dalsvallen, strax V om väg till Storulvåns fjällstation, fuktig björkskog."
"Norrbotten Piteå Markbygden: 600 m NV bron över Klubbälven, öns nordvästra spets, åstrand, 23K 9e 42 34, 2004-07-07; Hammarsjö, Claes; Bnr = nb04 0496"
"Norrbotten Korpilombolo: Hällfors, 300 m V-VNV bron över Teurajoki, ängsartad skogsvägkant, 27M 6b 15 45, 2000-07-26; Green, Ian; Bnr = nb00 2010"
"Norrbotten. Nederkalix: Karlsborgs , industritipp, industritipp.  25M 4i 18 23   2011-09-08  Leg. Lennart Stenberg & K. Haraldsson nb11 0270"
"Norrbotten Edefors: 250 m V Ytterstträskets sydostspets, södra stranden, fuktig skogsmark vid sjöstrand, 25K 5i 37 24, 2000-07-21; Persson, Lennart; Bnr = nb00 0658"
"Ångermanland: Björna sn; Bergvattnet, 1 km öster om Björna. RN 70509, 16414. 4 aug. 2004. B. Nilsson, Å. Svensson, C. Wigermo 4574"
"Norrbotten Älvsby: Överstdammkojan, lilla myren sydost om vägskälet, mycket blöt liten myr, något strängad, på tuvor vid göl, 25K 4e 29 22, 2001-07-14; Hammarsjö, Claes; Bnr = nb01 0878"
"Hälsingland: Ytterhogdal sn, bäcken NO om Hinriksberget. Körspår o. kant av vändplan, vid o. i bäcken."
"Norrbotten Älvsby: 1000 m SSV-SV södra spetsen av Lappmyrtjärn, ö-bank i å, något grusig, 24K 8b 37 37, 2001-07-09; Zethraeus, Ulf & Zethraeus, Allis &  & Wikman, Inger; Bnr = nb01 1747"
"Norrbotten Piteå Markbygden kbfd: Vinbergsknabben, bäck - vägkorsning, bäckstrand, 24J 3g 21 42, 2004-07-09; Hammarsjö, Claes; Bnr = nb04 1031"
"Flora Suecica Upl. Lovö sn., Kungshatt. I bergskratt, på Ö.sidan; nedom gråberg; 1. tuva! Med: C. spicata & muricata! (På spridning) 10I5d1943 11.8.2004. H. Gudmundson"
"Norrbotten Korpilombolo: 400 m NO om bron över ån till sjön Jierijärvi , gammal ängsmark, 27M 9c 08 48, 2007-07-23; Davidsson, Irma; Bnr = nb07 0609"
"Norrbotten Älvsby: Sör-Tällberget, 700 m VSV-V toppen, kallkällbäck, 25K 2f 02 31, 2007-06-26; Ahlm, Jan; Bnr = nb07 1878"
"Norrbotten Älvsby: Hundbergets sydbrant, bergbrant, 24K 9i 16 02, 2000-07-06; Zethraeus, Ulf; Bnr = nb00 1262"
"Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NV-NNV om Bealloevaerie, toppen (1012 m), 1300 m NO om bro över Saxån (Suevniejohke), fuktig fjälläng. 23E 5i 0401. 7225434, 1440136. 2007-07-22. Göran Odelvik 8982"
"Carex macloviana, lämmelstarr. Pite lpm., Arjeplogs s:n, 1,1 km NNO Straggholmen, vägkant. 2017-07-18 Kjell ErIksson. RT90 1600109 7312824"
"Norrbotten Piteå Markbygden kbfd: Djupbäcksdammet, örtrikt ängsartat hygge, 24J 4j 07 27, 2004-06-30; Davidsson, Irma & Groth, Hans; Bnr = nb04 0241"
"Norrbotten Överkalix: Tansjärvvägen, 2300 m N-NNV Tansjärvs nordspets, Vägkant, 26M 4b 44 33, 2001-07-26; Jönsson, Lennart; Bnr = nb01 3957"
"Norrbotten Edefors: Innerstträsket, O om bäcken från Utbysträsktjärnen, gungfly vid sjö, strandkanten, 25K 6i 03 16, 2000-07-23; Hammarsjö, Claes; Bnr = nb00 0119"
"Norrbotten Överkalix: Tyckjärv, andra gården norr ifrån gården, torrbacke, 27M 1a 44 30, 2007-07-17; Haraldsson, Kerstin & Hedlund, Åsa; Bnr = nb07 4275"
"Norrbotten Överkalix: Södra Sandsjärv, 450 m NV-NNV Halljärvbäckens mynning, torräng, 26M 5c 10 02, 2002-06-27; Jönsson, Lennart; Bnr = nb02 3815"
"Hälsingland: Ytterhogdal sn, bäcken NO om Hinriksberget, S änden av liten myr, där bäcken rinner in."
"Norrbotten Piteå Markbygden kbfd: Krokträskbäcken, 1250 m SO Löftanbergets topp, Ängsartad vändskiva, 24J 2g 28 43, 2004-07-10; Davidsson, Irma; Bnr = nb04 0382"
"Hälsingland: Ytterhogdal sn, vid Lappåsbäcken S om Vilbacksmyran. Hygge. Ett skott som är mycket senare utvecklat än huvuddelen."
"Pite lappmark: Arjeplog sn, Stuor-Jiervas (V om Iggesjávrre), 3200 m NNV om p. 1347, 100 m V om Iggesjávrres strand, kalfjäll, litet källutflöde."
"Stor trindstarr? Carex diandra var. major? Dags mossestorvbrytningscentral 1434595 6466873. Ödeshög Östergötland. Västra Tollstad 2017-06-29. Torvmosse. Kä17-328 Det: Anders Svenson 2017. Leg: Kjell Antonsson"
"Härjedalen: Storsjö sn, Ljungdalen, 3350 m. VNV om Ljungdalens kapell, 2000 m. SO om Torkilstöten, toppen, björkskog, sluttningskärr. 182 B (18C) 5i 18 27. 6976827, 1342770. 21. 7. 2004. No. 7282. Leg. Göran Odelvik."
"Lökaö vid Österviken i nygrävt dike"
