gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2871501303	fea77396-7b26-44cb-8580-aefadc8db276	http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0727165	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum Schimp.	Schimp.	FR		76 Seine-Maritime	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e					75.0				2012-06-20T00:00:00	20	6	2012	4280844	4280844	PRESERVED_SPECIMEN	MNHN	PC	PC0727165		Werner		CC_BY_4_0		Werner, J.|Prey, T.			2020-10-08T09:47:24.506Z		
2866053576	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:88005493	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Nordspetsen av sjön Stora Tresticklan		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	59.046088	11.773473	100.0						2020-09-14T00:00:00	14	9	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	131465377				CC0_1_0	Tomas Hallingbäck	Tomas Hallingbäck			2020-10-07T19:24:18.501Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2857812432	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:87795418	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Musikedalens naturreservat, Oxakärret		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.362812	13.086486	125.0						2020-08-30T00:00:00	30	8	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	131254164				CC0_1_0	Richard Åkesson	Richard Åkesson			2020-10-07T19:21:49.538Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2857585469	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:87809342	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Lerdalen, myr vid Sätersklumpen.		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	64.741621	13.910197	100.0						2020-08-20T00:00:00	20	8	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	131267806				CC0_1_0	Tomas Hallingbäck	Tomas Hallingbäck, Fredrik Larsson, Peter Carlsson, Lars-Åke Flodin			2020-10-07T19:23:57.561Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2857524437	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:87795432	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Musikedalens naturreservat, Oxakärret		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.35921	13.086172	125.0						2020-08-30T00:00:00	30	8	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	131254178				CC0_1_0	Richard Åkesson	Richard Åkesson			2020-10-07T19:22:11.458Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2857245957	789656b4-589a-40a7-9f80-16159a49a991		Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum Schimp.		AT			PRESENT		7a070ba0-bafb-11d9-8e53-b8a03c50a862	47.08	13.38	6000.0						2005-01-01T00:00:00			2005	4280844	4280844	UNKNOWN	Biodiversitätsdatenbank des NP Hohe Tauern	Biodiversitätsdatenbank des NP Hohe Tauern	301030				CC_BY_4_0					2020-09-08T07:58:15.903Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
2853212338	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:87619883	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Dämd våtmark 100 m S Kyrkmossen		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.359419	13.026757	25.0						2020-08-19T00:00:00	19	8	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	131082488				CC0_1_0	Richard Åkesson	Richard Åkesson			2020-10-07T19:26:11.708Z		GEODETIC_DATUM_ASSUMED_WGS84
2848249685	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:87107526	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Svartsjö		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.672184	16.69704	50.0						2020-07-25T00:00:00	25	7	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	130597765				CC0_1_0	Kristoffer Hylander	Kristoffer Hylander			2020-10-07T19:23:02.564Z		GEODETIC_DATUM_ASSUMED_WGS84
2847986724	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:87131423	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Svinamadsbäcken		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.387695	13.009636	10.0						2020-06-24T00:00:00	24	6	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	130639492				CC0_1_0	Richard Åkesson	Richard Åkesson			2020-10-07T19:25:07.779Z		GEODETIC_DATUM_ASSUMED_WGS84
2847434070	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:87302840	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum	Sphagnum auriculatum		SPECIES	Sphagnum auriculatum Schimp.	Sphagnum auriculatum	Schimp.	SE	Baramossa gård, 590 m SSV		PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.378001	12.982336	25.0						2020-08-03T00:00:00	3	8	2020	4280844	4280844	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	130771413				CC0_1_0	Richard Åkesson	Richard Åkesson			2020-10-07T19:24:00.404Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
