"#","Institution Name","City","State","Latitude","Longitude"
"1","Botanical Garden Universiteti I Tiranes","Tirana","","41.3077","19.8275"
"2","Jardin Botanique de Universite d‘Alger","Alger","","36.7755","3.0597"
"3","Jardin Botanique du Hamma","Algiers","Algeria","36.7484","3.07574"
"4","Jardin Botanique","Wilaya De Bechar","","31.52","-2.22"
"5","Botanic Garden of Salazar and Floristic Reserve","Quilombo","Kuanza Norte","-9.2000","14.5400"
"6","The Threatened and Endangered Species Garden","Cap Juluca","West Indies","18.2205","-63.0686"
"7","Test Garden Profile 1 - Temporary- Mexico","","",NA,NA
"8","Test Garden Profile 2 - Temporary- China","","",NA,NA
"9","Test Garden Profile 3 - Temporary","","",NA,NA
"10","Antigua Botanic Gardens","St Johns","","17.1175","-61.8455"
"11","Complejo Ecológico de América","América","Buenos Aires","-34.65315","-58.7682"
"12","Jardín Botanico ""Edgardo N. Orfila""","Azul","","-36.768308","-59.880736"
"13","Jardín Botánico ""Pillahuincó""","Bahía Blanca","Buenos Aires","-38.06472","-61.97222"
"14","Jardín Botánico de Bahía Blanca","Bahia Blanca","Buenos Aires","-38.73911","-62.24219"
"15","Fundación Temaikén","Buenos Aires","","34.3455876","-58.7954552"
"16","Jardín Botánico de la ciudad de Buenos Aires ""Carlos Thays""","Buenos Aires","Buenos Aires","-34.5828","-58.4190"
"17","Jardín Didáctico de Especies Nativas","Buenos Aires","Buenos Aires","-34.60514","-58.43769"
"18","Jardín Japonés","Buenos Aires","Capital Federal","-34.5755","-58.40918"
"19","Jardín Botánico Cuenta Soles","Carpintería","San Luis","-31.9877884","-65.2434587"
"20","Jardín Botánico de Chacras de Coria","Chacras de Coria","Mendoza","-32.4799","-68.5200"
"21","Jardín Botánico ""Lucien Hauman""","Ciudad Autónoma de Buenos Aires","Buenos Aires","-34.596056","-58.483096"
"22","Museo Casa y Jardín ""Augusto G. Schulz""","Colonia Benítez","Chaco","-27.446442","-58.977936"
"23","Jardín del Árido Patagónico","Comodoro Rivadavia","Chubut","-54.80752","-68.32566"
"24","Proyecto Jardín Botánico de la Fundación Forestar","Concepción","Tucumán","-26.365266","-65.590849"
"25","Proyecto Jardín Botánico Tafí del Valle","Concepción","Tucumán","-26.858605","-65.724875"
"26","Jardín Botánico Aníbal Oscar Carnevalini (Ca´a Porâ)","Concordia","Entre Ríos","-31.3969","-58.01716"
"27","Jardín Botánico ""Gaspar Xuárez sj""","Córdoba","Córdoba","-31.491082","-64.241523"
"28","Jardín Botánico de Córdoba","Córdoba","Córdoba","-31.3860","-64.2499"
"29","Arboretum San Miguel “Casco”","Coronel Pringles","Buenos Aires","38.100420","61.203340"
"30","Jardín Botánico “Nuestra Señora del Huerto”","Corrientes","Corrientes","-27.46992","-58.83549"
"31","Jardín Botánico ""Cascada Escondida""","El Bolsón","Río Negro","-41.967817","-71.515542"
